Product_name,Rating,Price,Discount_rate,Customer_reviews,Category,Sub_Category
Suit 4PCS Men Perfumes of Different Smell Eau De Parfum Classic Fragrances Long Lasting Deodorant,4.6,739.0,63% off,420 Customer reviews,Beauty,Fragrance
28 Days Detox Flat Tummy Tea for Weight Loss Slimming Fat Burn Body Cleanse Tea Bags Good,4.1,525.0,(-47%),60 Customer reviews,Sports Nutrition,Fat Burners & Thermogenics
New Arrival Portable Mini Refillable Perfume Bottle With Spray Scent Pump Empty Cosmetic Containers Atomizer Bottle For Travel Tool,4.5,199.0,(-60%),413 Customer reviews,Beauty,Fragrance
【Clearance Deal Only】Maybelline Superstay Skin Tint With Vitamin C,4.6,1599.0,60% off,148 Customer reviews,Beauty,Make Up
Kojic Acid Soap 3 Pcs Kojie San Skin Lightening & Brightening Original Soap-(135g each),4.3,345.0,(-50%),65 Customer reviews,Body,Body Washes
"3 Pieces, Collagen Serum + Vitamin C Face Brightening Essence + Collagen Cream ,For Face Brightening, Anti Wrinkles, Anti Aging, Moisturizing, Fade Dark Marks and Collagen Replenish",4.6,549.0,89% off,194 Customer reviews,Face,Facial Essence
Ladies 1 Large Zipper Travel Toiletry Bag For Premium Makeup Bag,4.4,359.0,64% off,130 Customer reviews,Beauty,Make Up Tool & Accessories
Probiotic Spray Fresh Breath Grape Flavor Mouth Spray Remove Oral Odor Bad Breath Portable Freshener Disaar,4.5,249.0,50% off,51 Customer reviews,Oral Care,Breath Fresheners
"Silicone Face Scrubber for Men, Gentle Exfoliating Body Brush Massager Removes Dead & Dry Skin, Body Scrubber Beard Brush for Skin Cleansing",4.5,199.0,(-80%),4 Customer reviews,Beauty,Make Up Tool & Accessories
SADOER Pure Cotton Skin Cleansing Towel 50 smoke daily makeup remover towel,4.9,400.0,(-50%),8 Customer reviews,Beauty,Make Up Tool & Accessories
Vaseline Lip Balm Moisturizing Lipstick Base Moisturizer Makeup Natural Plant Anti-Cracking Lip Care Petroleum Jelly Lip Balm,4.3,259.0,(-65%),289 Customer reviews,Lip Care,Balms & Moisturizers
Silstar Foot Care Rasp File Pedicure Callus Remover Hard Dead Skin Scrubber,4.6,165.0,(-66%),78 Customer reviews,Foot & Hand Care,Foot Scrub
